Dictionary Name,Total Sentences per Length,Total Correct Sentences per Length,Total pos->pos sents per len,Correct pos->pos sents per len,Total pos->neg sents per len,Correct pos->neg sents per len,Correct Pos->Pos Transformations,correct Pos->Neg Transformations,Total correct per len,Total parseable sentences (pos->pos),Parseable sentences (pos->pos),Preserve tree structures (pos->pos),Preserve significant clauses (pos->pos),Total parseable sentences pos->neg,Parseable Sentences (pos->neg),Preserve tree structures (pos->neg),Preserve significant clauses (pos->neg),Negates main clause (pos->neg),Negates target (pos->neg),Total source tokens,total prediction tokens per source,total target tokens per source,Pos->pos token precision,Pos->neg token precision,Pos->pos token recall,Pos->neg token recall,Pos->Pos category precision,Pos->neg category precision,Pos->pos category recall,Pos->Neg category recall
3.00,"1,063.00","1,063.00",547.00,547.00,516.00,516.00,1.00,1.00,1.00,547.00,1.00,1.00,1.00,516.00,1.00,1.00,1.00,1.00,1.00,"1,548.00","2,064.00","2,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,275.00,275.00,146.00,146.00,129.00,129.00,1.00,1.00,1.00,146.00,1.00,1.00,1.00,129.00,1.00,1.00,1.00,1.00,1.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,182.00","2,182.00","1,122.00","1,122.00","1,060.00","1,060.00",1.00,1.00,1.00,"1,122.00",1.00,1.00,1.00,"1,060.00",1.00,1.00,1.00,1.00,1.00,"5,300.00","6,360.00","6,360.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6.00,552.00,552.00,283.00,283.00,269.00,269.00,1.00,1.00,1.00,283.00,1.00,1.00,1.00,269.00,1.00,1.00,1.00,1.00,1.00,"1,614.00","1,883.00","1,883.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7.00,68.00,68.00,38.00,38.00,30.00,30.00,1.00,1.00,1.00,38.00,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,210.00,240.00,240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.00,42.00,42.00,22.00,22.00,20.00,20.00,1.00,1.00,1.00,22.00,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,160.00,180.00,180.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.00,"2,012.00","2,012.00","1,050.00","1,050.00",962.00,962.00,1.00,1.00,1.00,"1,050.00",1.00,1.00,1.00,962.00,1.00,1.00,1.00,1.00,1.00,"8,658.00","9,620.00","9,620.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.00,955.00,955.00,475.00,475.00,480.00,480.00,1.00,1.00,1.00,475.00,1.00,1.00,1.00,480.00,1.00,1.00,1.00,1.00,1.00,"4,800.00","5,280.00","5,280.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.00,438.00,438.00,230.00,230.00,208.00,208.00,1.00,1.00,1.00,230.00,1.00,1.00,1.00,208.00,1.00,1.00,1.00,1.00,1.00,"2,288.00","2,496.00","2,496.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.00,132.00,132.00,57.00,57.00,75.00,75.00,1.00,1.00,1.00,57.00,1.00,1.00,1.00,75.00,1.00,1.00,1.00,1.00,1.00,900.00,975.00,975.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.00,272.00,261.00,150.00,144.00,122.00,117.00,0.96,0.96,0.96,149.00,0.99,0.99,0.96,122.00,1.00,0.98,0.96,0.96,0.99,"1,586.00","1,708.00","1,708.00",0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00
14.00,176.00,168.00,81.00,76.00,95.00,92.00,0.94,0.97,0.95,80.00,0.99,0.96,0.94,95.00,1.00,0.99,0.97,0.97,1.00,"1,330.00","1,425.00","1,425.00",0.99,1.00,0.99,1.00,1.00,1.00,0.99,1.00
15.00,554.00,536.00,277.00,265.00,277.00,271.00,0.96,0.98,0.97,276.00,1.00,0.99,0.96,276.00,1.00,0.99,0.98,0.98,1.00,"4,155.00","4,431.00","4,432.00",0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00
16.00,383.00,366.00,187.00,177.00,196.00,189.00,0.95,0.96,0.96,187.00,1.00,0.97,0.95,196.00,1.00,1.00,0.96,0.96,0.99,"3,136.00","3,332.00","3,332.00",0.99,1.00,0.99,1.00,0.99,1.00,0.99,1.00
17.00,124.00,94.00,63.00,48.00,61.00,46.00,0.76,0.75,0.76,63.00,1.00,0.89,0.76,61.00,1.00,0.92,0.77,0.75,0.95,"1,037.00","1,097.00","1,098.00",0.97,0.95,0.97,0.95,0.98,0.98,0.99,0.98
18.00,61.00,25.00,27.00,12.00,34.00,13.00,0.44,0.38,0.41,26.00,0.96,0.59,0.52,34.00,1.00,0.82,0.38,0.38,0.85,612.00,646.00,646.00,0.84,0.90,0.84,0.90,0.88,0.97,0.88,0.97
19.00,275.00,140.00,135.00,71.00,140.00,69.00,0.53,0.49,0.51,129.00,0.96,0.82,0.54,137.00,0.98,0.79,0.50,0.49,0.89,"2,660.00","2,805.00","2,800.00",0.91,0.89,0.91,0.89,0.96,0.94,0.96,0.94
20.00,244.00,106.00,122.00,51.00,122.00,55.00,0.42,0.45,0.43,115.00,0.94,0.77,0.44,118.00,0.97,0.72,0.48,0.45,0.85,"2,440.00","2,560.00","2,562.00",0.87,0.88,0.87,0.88,0.92,0.92,0.92,0.92
21.00,143.00,34.00,67.00,18.00,76.00,16.00,0.27,0.21,0.24,61.00,0.91,0.61,0.31,73.00,0.96,0.68,0.24,0.21,0.89,"1,596.00","1,682.00","1,672.00",0.80,0.85,0.80,0.86,0.88,0.93,0.88,0.93
22.00,38.00,8.00,14.00,3.00,24.00,5.00,0.21,0.21,0.21,13.00,0.93,0.36,0.29,23.00,0.96,0.58,0.21,0.21,0.75,528.00,551.00,552.00,0.72,0.81,0.73,0.81,0.77,0.89,0.78,0.89
23.00,11.00,0.00,3.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,7.00,0.88,0.38,0.25,0.00,0.75,184.00,189.00,192.00,0.58,0.71,0.61,0.70,0.81,0.84,0.84,0.83